id,latitude,longitude,pop
MZ11379al,45.2719,-84.43925,REGION_1
MZ11392al,45.2719,-84.43925,REGION_1
MZ11378al,45.2719,-84.43925,REGION_1
MZ11376al,45.2719,-84.43925,REGION_1
MZ11382al,45.2719,-84.43925,REGION_1
MZ11375al,45.2719,-84.43925,REGION_1
MZ11380al,45.2719,-84.43925,REGION_1
MZ11374al,45.2719,-84.43925,REGION_1
MZ11389al,45.2719,-84.43925,REGION_1
MZ11391al,45.2719,-84.43925,REGION_1
MZ11388al,45.2719,-84.43925,REGION_1
MZ11384al,45.2719,-84.43925,REGION_1
MZ11373al,45.2719,-84.43925,REGION_1
MZ11372al,45.2719,-84.43925,REGION_1
MZ11377al,45.2719,-84.43925,REGION_1
MZ11383al,45.2719,-84.43925,REGION_1
15CW005al,46.4145,-84.7699,REGION_1
15CW014al,46.4145,-84.7699,REGION_1
15CW024al,46.4145,-84.7699,REGION_1
15CW004al,46.4145,-84.7699,REGION_1
15CW003al,46.4145,-84.7699,REGION_1
15CW001al,46.4145,-84.7699,REGION_1
15CW006al,46.4145,-84.7699,REGION_1
15CW009al,46.4145,-84.7699,REGION_1
13MN007al,45.46,-87.425,REGION_1
15MN003al,45.46,-87.425,REGION_1
13MN040al,45.46,-87.425,REGION_1
15MN002al,45.46,-87.425,REGION_1
14MN005al,45.46,-87.425,REGION_1
15SC092al,46.2868,-86.4248,REGION_1
15SC099al,46.2868,-86.4248,REGION_1
15SC052Bal,46.2868,-86.4248,REGION_1
